"species","Genus","Family","Order","Class","spec_code","DemersPelag","EnvTemp","environment","Feeding_path","BodyShape","DepthRangeDeep","Lmax","trophic_level","K","tm"
"Alestes_dentex","Alestes","Alestidae","Characiformes","Actinopterygii",5229,"pelagic","tropical","freshwater","benthic","fusiform",20,55,2.9,0.43,1.7
"Alestes_macrophthalmus","Alestes","Alestidae","Characiformes","Actinopterygii",5230,"pelagic","tropical","freshwater","benthic","fusiform",20,60,2,1.09,0.6
"Algansea_popoche","Algansea","Cyprinidae","Cypriniformes","Actinopterygii",50225,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,25,2.8,0.6,2.2
"Alopias_pelagicus","Alopias","Alopiidae","Lamniformes","Elasmobranchii",5891,"pelagic_oceanic","tropical","marine","pelagic","fusiform",300,428,4.5,0.12,4.4
"Alphestes_multiguttatus","Alphestes","Serranidae","Perciformes","Actinopterygii",8728,"demersal","tropical","marine","benthic","fusiform",40,30,3.5,0.35,2.1
"Amblyeleotris_diagonalis","Amblyeleotris","Gobiidae","Perciformes","Actinopterygii",13152,"reef_associated","tropical","marine","benthic","elongate",40,11,3.16,0.58,1.4
"Amblygaster_clupeoides","Amblygaster","Clupeidae","Clupeiformes","Actinopterygii",1499,"reef_associated","tropical","marine","pelagic","fusiform",50,21,3.1,0.61,1.3
"Amblygaster_leiogaster","Amblygaster","Clupeidae","Clupeiformes","Actinopterygii",1500,"pelagic_neritic","tropical","marine","pelagic","elongate",50,23,3.4,0.56,1.3
"Amblypharyngodon_mola","Amblypharyngodon","Cyprinidae","Cypriniformes","Actinopterygii",24301,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,20,2.06,0.14,0.82793667618315
"Amblyraja_badia","Amblyraja","Rajidae","Rajiformes","Elasmobranchii",13209,"bathydemersal","polar_deep","marine","pelagic","fusiform",2322,86,4.26,0.15,4.2
"Amblyraja_frerichsi","Amblyraja","Rajidae","Rajiformes","Elasmobranchii",54121,"bathydemersal","polar_deep","marine","pelagic","fusiform",2610,91,4.26,0.16,3.9
"Amblyraja_radiata","Amblyraja","Rajidae","Rajiformes","Elasmobranchii",2565,"demersal","polar_deep","mixed","pelagic","fusiform",1540,105,4.2,0.23,2.8
"Ambophthalmos_angustus","Ambophthalmos","Psychrolutidae","Scorpaeniformes","Actinopterygii",47425,"bathydemersal","temperate","marine","benthic","elongate",629,29,3.8,0.170050149232698,4.62617080734772
"Ameiurus_catus","Ameiurus","Ictaluridae","Siluriformes","Actinopterygii",3018,"demersal","subtropical","mixed","benthic","fusiform",40,95,3.2,0.24,2.8
"Ameiurus_melas","Ameiurus","Ictaluridae","Siluriformes","Actinopterygii",291,"demersal","temperate","freshwater","benthic","fusiform",40,66,3.8,0.22,3.1
"Ammodytes_tobianus","Ammodytes","Ammodytidae","Perciformes","Actinopterygii",38,"demersal","temperate","mixed","pelagic","elongate",96,20,3.1,0.71,1.1
"Amphiarius_rugispinis","Amphiarius","Ariidae","Siluriformes","Actinopterygii",957,"demersal","tropical","mixed","benthic","elongate",20,47,3.3,0.23,2.9
"Anabas_testudineus","Anabas","Anabantidae","Perciformes","Actinopterygii",495,"demersal","tropical","mixed","benthic","fusiform",175.48,25,3,1.4,0.941488902787622
"Anarchopterus_criniger","Anarchopterus","Syngnathidae","Syngnathiformes","Actinopterygii",3287,"demersal","tropical","marine","pelagic","elongate",42.57,10,3.3,1.71,0.5
"Anchoa_argentivittata","Anchoa","Engraulidae","Clupeiformes","Actinopterygii",1680,"pelagic_neritic","tropical","marine","pelagic","elongate",50,12.5,3.33,0.96,0.9
"Anchoa_compressa","Anchoa","Engraulidae","Clupeiformes","Actinopterygii",1686,"pelagic_neritic","subtropical","mixed","pelagic","elongate",50,13.3,3.4,0.76,1.1
"Anchoa_pectoralis","Anchoa","Engraulidae","Clupeiformes","Actinopterygii",536,"pelagic_neritic","tropical","mixed","pelagic","elongate",22,6.8,3.33,1.41,0.7
"Anchovia_clupeoides","Anchovia","Engraulidae","Clupeiformes","Actinopterygii",543,"benthopelagic","tropical","mixed","pelagic","fusiform",50,30,3.4,0.43,1.7
"Anchovia_macrolepidota","Anchovia","Engraulidae","Clupeiformes","Actinopterygii",544,"pelagic_neritic","tropical","mixed","benthic","elongate",50,25,2.7,0.51,1.5
"Anchoviella_lepidentostole","Anchoviella","Engraulidae","Clupeiformes","Actinopterygii",1675,"pelagic_neritic","tropical","mixed","pelagic","elongate",50,16.4,3.1,0.75,1.1
"Ancylopsetta_dendritica","Ancylopsetta","Paralichthyidae","Pleuronectiformes","Actinopterygii",8225,"demersal","tropical","marine","pelagic","short_deep",100,35,4.2,0.46,1.5
"Anematichthys_repasson","Anematichthys","Cyprinidae","Cypriniformes","Actinopterygii",16123,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,28,2.6,0.23,3.2
"Anguilla_bengalensis","Anguilla","Anguillidae","Anguilliformes","Actinopterygii",1272,"benthopelagic","tropical","mixed","benthic","elongate",1552.67,200,4.03,0.04,14
"Anguilla_bicolor","Anguilla","Anguillidae","Anguilliformes","Actinopterygii",1274,"demersal","tropical","mixed","benthic","elongate",1552.67,123,3.6,0.14,4.3
"Anguilla_japonica","Anguilla","Anguillidae","Anguilliformes","Actinopterygii",295,"demersal","subtropical","mixed","benthic","elongate",400,150,3.6,0.07,8.8
"Anguilla_rostrata","Anguilla","Anguillidae","Anguilliformes","Actinopterygii",296,"demersal","subtropical","mixed","benthic","elongate",464,152,3.8,0.08,7.9
"Anisarchus_macrops","Anisarchus","Stichaeidae","Perciformes","Actinopterygii",23774,"demersal","temperate","marine","benthic","elongate",300,17,3.13,0.3,2.6
"Anisotremus_davidsonii","Anisotremus","Haemulidae","Perciformes","Actinopterygii",3568,"demersal","subtropical","marine","benthic","short_deep",40,58,3.5,0.34,2
"Anodus_elongatus","Anodus","Hemiodontidae","Characiformes","Actinopterygii",51222,"pelagic","tropical","freshwater","pelagic","elongate",44.18,30.3,3.4,0.396877216656436,1.92829469744829
"Antigonia_capros","Antigonia","Caproidae","Perciformes","Actinopterygii",3258,"demersal","tropical","marine","benthic","short_deep",900,30.5,4.1,0.11,6.5
"Apocryptes_bato","Apocryptes","Gobiidae","Perciformes","Actinopterygii",13535,"demersal","tropical","mixed","benthic","elongate",45.91,26,3.16,0.32,2.3
"Apogon_imberbis","Apogon","Apogonidae","Perciformes","Actinopterygii",1693,"reef_associated","subtropical","marine","benthic","fusiform",200,15,3.4,0.91,0.9
"Apristurus_nasutus","Apristurus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",776,"bathydemersal","polar_deep","marine","pelagic","elongate",925,70,3.1,0.183307778154299,5.74841877665365
"Apristurus_riveri","Apristurus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",780,"bathydemersal","polar_deep","marine","pelagic","elongate",1500,46,3.89,0.183307778154299,5.74841877665365
"Apsilus_dentatus","Apsilus","Lutjanidae","Perciformes","Actinopterygii",85,"reef_associated","tropical","marine","pelagic","fusiform",300,65,4.1,0.65,1
"Arabibarbus_grypus","Arabibarbus","Cyprinidae","Cypriniformes","Actinopterygii",54808,"benthopelagic","subtropical","freshwater","benthic","elongate",23.75,150,2.8,0.0665,1.82318044592642
"Arapaima_gigas","Arapaima","Arapaimidae","Osteoglossiformes","Actinopterygii",2076,"demersal","tropical","freshwater","pelagic","fusiform",57.5,450,4.5,0.1769,5.83939208762119
"Archistes_biseriatus","Archistes","Cottidae","Scorpaeniformes","Actinopterygii",4040,"demersal","subtropical","marine","benthic","elongate",200,17,3.56,0.23,3.4
"Argentina_elongata","Argentina","Argentinidae","Osmeriformes","Actinopterygii",13142,"demersal","temperate","marine","pelagic","elongate",700,25,3.4,0.29,4.6
"Argyrosomus_amoyensis","Argyrosomus","Sciaenidae","Perciformes","Actinopterygii",10367,"demersal","tropical","marine","pelagic","fusiform",60,40,4.48,0.36,1.9
"Argyrosomus_inodorus","Argyrosomus","Sciaenidae","Perciformes","Actinopterygii",17270,"benthopelagic","subtropical","mixed","pelagic","fusiform",100,145,4.2,0.12,5
"Argyrosomus_japonicus","Argyrosomus","Sciaenidae","Perciformes","Actinopterygii",11979,"benthopelagic","tropical","mixed","pelagic","fusiform",192,181,4.5,0.16,3.7
"Arhynchobatis_asperrimus","Arhynchobatis","Arhynchobatidae","Rajiformes","Elasmobranchii",47414,"bathydemersal","polar_deep","marine","benthic","fusiform",1070,75,4.05,0.11,5.8
"Ariopsis_assimilis","Ariopsis","Ariidae","Siluriformes","Actinopterygii",945,"demersal","tropical","mixed","benthic","fusiform",20,35,3.23,0.28,2.5
"Ariopsis_guatemalensis","Ariopsis","Ariidae","Siluriformes","Actinopterygii",13471,"demersal","tropical","mixed","benthic","fusiform",20,54,3.23,0.06,10.9
"Arius_gigas","Arius","Ariidae","Siluriformes","Actinopterygii",4945,"benthopelagic","tropical","mixed","benthic","elongate",60,165,4,0.07,8.2
"Arius_latiscutatus","Arius","Ariidae","Siluriformes","Actinopterygii",4929,"demersal","tropical","mixed","benthic","fusiform",70,85,3.3,0.15,4.3
"Arnoglossus_imperialis","Arnoglossus","Bothidae","Pleuronectiformes","Actinopterygii",42,"demersal","subtropical","marine","benthic","fusiform",350,25,3.8,0.25,2.9
"Arnoglossus_kessleri","Arnoglossus","Bothidae","Pleuronectiformes","Actinopterygii",1809,"demersal","subtropical","marine","benthic","fusiform",200,10,4.1,0.58,1.5
"Arnoglossus_thori","Arnoglossus","Bothidae","Pleuronectiformes","Actinopterygii",43,"demersal","subtropical","marine","benthic","fusiform",300,18,3.3,0.51,1.5
"Artedidraco_glareobarbatus","Artedidraco","Artedidraconidae","Perciformes","Actinopterygii",59315,"demersal","polar_deep","marine","benthic","elongate",287,12,3.14,0.351392032774961,2.19724315645384
"Aspistor_luniscutis","Aspistor","Ariidae","Siluriformes","Actinopterygii",58410,"benthopelagic","tropical","mixed","benthic","fusiform",66.75,120,3.8,0.09,6.6
"Assurger_anzac","Assurger","Trichiuridae","Perciformes","Actinopterygii",3908,"benthopelagic","tropical","marine","pelagic","elongate",400,250,4.5,0.16,3.4
"Astronotus_ocellatus","Astronotus","Cichlidae","Perciformes","Actinopterygii",3612,"benthopelagic","tropical","freshwater","benthic","short_deep",40.68,45.7,2.8,0.29,2.3
"Atelomycterus_marmoratus","Atelomycterus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii",4305,"reef_associated","tropical","marine","pelagic","elongate",65.5,70,4,0.17,3.8
"Atherina_boyeri","Atherina","Atherinidae","Atheriniformes","Actinopterygii",1696,"demersal","subtropical","mixed","benthic","elongate",9.47,20,3.2,0.16,4.9
"Atherina_hepsetus","Atherina","Atherinidae","Atheriniformes","Actinopterygii",1697,"pelagic_neritic","subtropical","mixed","benthic","elongate",9.47,20,3.2,0.24,3.2
"Atherinopsis_californiensis","Atherinopsis","Atherinopsidae","Atheriniformes","Actinopterygii",3236,"pelagic_neritic","subtropical","marine","benthic","elongate",30,45,2.3,0.28,2.5
"Atropus_atropos","Atropus","Carangidae","Perciformes","Actinopterygii",1929,"pelagic_neritic","tropical","marine","benthic","short_deep",167.6,26.5,3.6,0.55,1.4
"Auchenoglanis_biscutatus","Auchenoglanis","Claroteidae","Siluriformes","Actinopterygii",5464,"demersal","tropical","freshwater","benthic","elongate",20,54,3.1,0.25,2.7
"Auchenoglanis_occidentalis","Auchenoglanis","Claroteidae","Siluriformes","Actinopterygii",2438,"demersal","tropical","freshwater","benthic","fusiform",20,70,2.9,0.3,2.2
"Aulonocara_gertrudae","Aulonocara","Cichlidae","Perciformes","Actinopterygii",60045,"benthopelagic","tropical","freshwater","benthic","fusiform",30,11,2.64,0.9,0.9
"Aulotrachichthys_novaezelandicus","Aulotrachichthys","Trachichthyidae","Beryciformes","Actinopterygii",47486,"demersal","temperate","marine","pelagic","fusiform",100,12,4.1,0.29,4.4
"Awaous_grammepomus","Awaous","Gobiidae","Perciformes","Actinopterygii",11799,"benthopelagic","tropical","mixed","benthic","elongate",502.5,15,3.3,0.638784070504826,0.905023102310401
"Bagarius_bagarius","Bagarius","Sisoridae","Siluriformes","Actinopterygii",12006,"benthopelagic","tropical","mixed","benthic","elongate",1.5,200,3.7,0.02,27.8
"Bagarius_yarrelli","Bagarius","Sisoridae","Siluriformes","Actinopterygii",23314,"demersal","tropical","freshwater","benthic","elongate",1.5,200,3.7,0.02,27.8
"Bagre_pinnimaculatus","Bagre","Ariidae","Siluriformes","Actinopterygii",13481,"demersal","tropical","mixed","benthic","elongate",92.33,95,4.5,0.11,5.6
"Bagrus_bajad","Bagrus","Bagridae","Siluriformes","Actinopterygii",5462,"demersal","tropical","freshwater","pelagic","fusiform",60,112,4,0.2,3.2
"Bagrus_docmak","Bagrus","Bagridae","Siluriformes","Actinopterygii",6519,"benthopelagic","tropical","freshwater","benthic","fusiform",80,127,4.1,0.07,8.5
"Bagrus_meridionalis","Bagrus","Bagridae","Siluriformes","Actinopterygii",4721,"demersal","tropical","freshwater","pelagic","elongate",60,150,3.9,0.09,6.7
"Balistes_punctatus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii",4931,"demersal","tropical","marine","benthic","short_deep",200,60,3.4,0.38,1.9
"Barathronus_maculatus","Barathronus","Aphyonidae","Ophidiiformes","Actinopterygii",16830,"bathydemersal","polar_deep","marine","benthic","elongate",1525,18,3.7,0.344147704068985,2.28852966737536
"Barbichthys_laevis","Barbichthys","Cyprinidae","Cypriniformes","Actinopterygii",7993,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,30,2.8,0.22,3.3
"Barbodes_binotatus","Barbodes","Cyprinidae","Cypriniformes","Actinopterygii",5180,"benthopelagic","tropical","freshwater","benthic","fusiform",5,20,2.7,0.32,2.4
"Barbonymus_altus","Barbonymus","Cyprinidae","Cypriniformes","Actinopterygii",8171,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,25,2.4,0.29526655479348,1.81491012281824
"Barbonymus_balleroides","Barbonymus","Cyprinidae","Cypriniformes","Actinopterygii",17363,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,30,3,0.29526655479348,1.81491012281824
"Barbonymus_gonionotus","Barbonymus","Cyprinidae","Cypriniformes","Actinopterygii",286,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,40.5,2.4,0.2,3.4
"Barbonymus_schwanenfeldii","Barbonymus","Cyprinidae","Cypriniformes","Actinopterygii",4765,"benthopelagic","tropical","freshwater","benthic","fusiform",23.75,35,3,0.19,3.7
"Barbus_barbus","Barbus","Cyprinidae","Cypriniformes","Actinopterygii",4472,"benthopelagic","temperate","freshwater","benthic","fusiform",23.75,120,3.1,0.05,12.4
"Basilichthys_australis","Basilichthys","Atherinopsidae","Atheriniformes","Actinopterygii",25855,"pelagic","temperate","freshwater","benthic","elongate",17.62,30,3.44,0.84,1.6
"Batasio_tengana","Batasio","Bagridae","Siluriformes","Actinopterygii",13295,"benthopelagic","tropical","freshwater","benthic","elongate",6,9,3.4,0.262431602002805,2.30278842347915
"Bathygadus_melanobranchus","Bathygadus","Macrouridae","Gadiformes","Actinopterygii",5045,"bathydemersal","polar_deep","marine","pelagic","elongate",2600,50,3.3,0.16,4.2
"Bathygobius_ramosus","Bathygobius","Gobiidae","Perciformes","Actinopterygii",8259,"reef_associated","tropical","marine","benthic","elongate",9.29,20,3.42,0.4,1.9
"Bathylagus_pacificus","Bathylagus","Bathylagidae","Osmeriformes","Actinopterygii",22679,"bathypelagic","polar_deep","marine","benthic","fusiform",7700,25,3.3,0.14,5.2
"Bathymyrus_smithi","Bathymyrus","Congridae","Anguilliformes","Actinopterygii",7673,"bathydemersal","polar_deep","mixed","benthic","elongate",490,58,3.87,0.29,2.3
"Bathyraja_interrupta","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii",2559,"bathydemersal","polar_deep","marine","benthic","fusiform",1500,86,3.4,0.07,8.7
"Bathyraja_maccaini","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii",6950,"demersal","polar_deep","marine","benthic","fusiform",500,120,4.3,0.07,8.5
"Bathyraja_schroederi","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii",54022,"bathydemersal","polar_deep","marine","benthic","fusiform",3000,99.8,4.3,0.07,18.1
"Bathyraja_trachura","Bathyraja","Arhynchobatidae","Rajiformes","Elasmobranchii",2571,"bathydemersal","polar_deep","marine","benthic","fusiform",2550,91,4.3,0.09,6.8
"Bathysauroides_gigas","Bathysauroides","Bathysauroididae","Aulopiformes","Actinopterygii",22958,"demersal","temperate","marine","pelagic","fusiform",1160.95,29,4.15,0.448122846211329,1.73785864780421
"Bathysolea_profundicola","Bathysolea","Soleidae","Pleuronectiformes","Actinopterygii",8840,"bathypelagic","polar_deep","marine","benthic","elongate",1350,21,3.2,0.59,1.4
"Bathytoshia_centroura","Bathytoshia","Dasyatidae","Myliobatiformes","Elasmobranchii",2572,"demersal","subtropical","mixed","benthic","fusiform",270,300,3.8,0.139974372505807,4.80673416066813
"Batrachoides_liberiensis","Batrachoides","Batrachoididae","Batrachoidiformes","Actinopterygii",4933,"demersal","tropical","mixed","benthic","elongate",100,46,3.7,0.14,4.8
"Batrachoides_surinamensis","Batrachoides","Batrachoididae","Batrachoidiformes","Actinopterygii",969,"demersal","tropical","mixed","benthic","fusiform",36,57,3.7,0.12,5.5
"Bellator_loxias","Bellator","Triglidae","Scorpaeniformes","Actinopterygii",14255,"demersal","tropical","marine","benthic","elongate",173.67,15,3.74,0.55,1.5
"Bembrops_greyi","Bembrops","Percophidae","Perciformes","Actinopterygii",10198,"bathydemersal","polar_deep","marine","pelagic","elongate",420,25,4.2,0.39,1.9
"Bembrops_heterurus","Bembrops","Percophidae","Perciformes","Actinopterygii",4934,"demersal","polar_deep","marine","benthic","elongate",400,28,4,0.35,2.1
"Benitochromis_batesii","Benitochromis","Cichlidae","Perciformes","Actinopterygii",8156,"benthopelagic","tropical","freshwater","benthic","fusiform",40.68,9.42,2.64,1.04,0.8
"Benthalbella_macropinna","Benthalbella","Scopelarchidae","Aulopiformes","Actinopterygii",6975,"bathypelagic","polar_deep","marine","pelagic","elongate",840,24,4.15,0.653779389628276,1.16699674196865
"Benthodesmus_elongatus","Benthodesmus","Trichiuridae","Perciformes","Actinopterygii",3909,"benthopelagic","polar_deep","marine","pelagic","elongate",950,100,3.9,0.11,5.8
"Benthodesmus_macrophthalmus","Benthodesmus","Trichiuridae","Perciformes","Actinopterygii",8546,"benthopelagic","polar_deep","marine","pelagic","elongate",600,50,4.11,0.69,1
"Benthodesmus_tenuis","Benthodesmus","Trichiuridae","Perciformes","Actinopterygii",8563,"benthopelagic","polar_deep","marine","pelagic","elongate",850,230,4.11,0.288314528849512,2.27690133653191
"Benthophiloides_brauneri","Benthophiloides","Gobiidae","Perciformes","Actinopterygii",16261,"demersal","temperate","mixed","benthic","elongate",15,7.2,3.4,2.79,0.3
"Benthophilus_baeri","Benthophilus","Gobiidae","Perciformes","Actinopterygii",47930,"demersal","temperate","freshwater","benthic","elongate",81,8,3.16,0.94,1
"Beringraja_rhina","Beringraja","Rajidae","Rajiformes","Elasmobranchii",2566,"bathydemersal","polar_deep","marine","pelagic","fusiform",1069,180,4.38,0.07,8.5
"Blennophis_anguillaris","Blennophis","Clinidae","Perciformes","Actinopterygii",26227,"demersal","subtropical","marine","benthic","elongate",22.06,30,3.38,0.351392032774961,2.19724315645384
"Bodianus_speciosus","Bodianus","Labridae","Perciformes","Actinopterygii",4955,"reef_associated","tropical","marine","benthic","fusiform",70,50,3.6,0.15,4.5
"Boesemania_microlepis","Boesemania","Sciaenidae","Perciformes","Actinopterygii",15224,"benthopelagic","tropical","mixed","benthic","fusiform",98,100,3.7,0.15,4.1
"Bostrychus_africanus","Bostrychus","Eleotridae","Perciformes","Actinopterygii",10009,"demersal","tropical","mixed","benthic","elongate",12.33,21,3.37,0.43,1.8
"Botia_dario","Botia","Botiidae","Cypriniformes","Actinopterygii",12248,"demersal","tropical","freshwater","benthic","fusiform",25.81,15.1,2.73,0.351773427517019,2.17315865310983
"Boulengerochromis_microlepis","Boulengerochromis","Cichlidae","Perciformes","Actinopterygii",6008,"pelagic","tropical","freshwater","pelagic","fusiform",85,80,4.5,0.38,2.5
"Brachirus_orientalis","Brachirus","Soleidae","Pleuronectiformes","Actinopterygii",8312,"demersal","tropical","mixed","benthic","short_deep",20,38,3.5,0.2,3.5
"Brachirus_panoides","Brachirus","Soleidae","Pleuronectiformes","Actinopterygii",25167,"demersal","tropical","mixed","benthic","short_deep",84,20,3.5,0.337909087777272,2.4364266969137
"Brachyhypopomus_brevirostris","Brachyhypopomus","Hypopomidae","Gymnotiformes","Actinopterygii",12222,"benthopelagic","tropical","freshwater","benthic","elongate",1.5,34.7,3.6,0.343160531329963,2.20317641530553
"Brachyplatystoma_rousseauxii","Brachyplatystoma","Pimelodidae","Siluriformes","Actinopterygii",58421,"demersal","tropical","freshwater","pelagic","elongate",10,192,4.5,0.56,2.2
"Brachyplatystoma_vaillantii","Brachyplatystoma","Pimelodidae","Siluriformes","Actinopterygii",7555,"demersal","tropical","mixed","pelagic","elongate",10,150,4.5,0.12,4.9
"Brachysomophis_porphyreus","Brachysomophis","Ophichthidae","Anguilliformes","Actinopterygii",22613,"demersal","temperate","marine","benthic","elongate",20,129.5,3.61,0.18,3.3
"Branchiostegus_japonicus","Branchiostegus","Malacanthidae","Perciformes","Actinopterygii",4593,"demersal","tropical","marine","pelagic","elongate",200,46,3.4,0.3,2.3
"Branchiostegus_semifasciatus","Branchiostegus","Malacanthidae","Perciformes","Actinopterygii",4935,"demersal","tropical","marine","pelagic","elongate",300,60,3.66,0.17,3.9
"Brotula_multibarbata","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii",7297,"reef_associated","tropical","marine","benthic","elongate",650,100,3.7,0.14,4.4
"Brycinus_kingsleyae","Brycinus","Alestidae","Characiformes","Actinopterygii",11090,"pelagic","tropical","freshwater","benthic","fusiform",20,16.55,2.56,0.78,1
"Brycinus_leuciscus","Brycinus","Alestidae","Characiformes","Actinopterygii",5231,"pelagic","tropical","freshwater","benthic","fusiform",20,12,3,1.19,0.7
"Brycinus_longipinnis","Brycinus","Alestidae","Characiformes","Actinopterygii",5234,"pelagic","tropical","mixed","benthic","fusiform",20,16.4,2.2,0.94,0.8
"Brycinus_nurse","Brycinus","Alestidae","Characiformes","Actinopterygii",5235,"pelagic","tropical","freshwater","benthic","fusiform",20,25,2.5,0.41,1.8
"Brycon_cephalus","Brycon","Bryconidae","Characiformes","Actinopterygii",25516,"benthopelagic","tropical","freshwater","benthic","fusiform",600,45,2,0.473,2.07872032842329
"Brycon_hilarii","Brycon","Bryconidae","Characiformes","Actinopterygii",52994,"benthopelagic","tropical","freshwater","benthic","fusiform",600,56,2,0.371286938165081,2.00773389979829
"Brycon_orbignyanus","Brycon","Bryconidae","Characiformes","Actinopterygii",48557,"benthopelagic","tropical","freshwater","benthic","fusiform",600,79.5,2.79,0.25,2.5
"Calophysus_macropterus","Calophysus","Pimelodidae","Siluriformes","Actinopterygii",12115,"demersal","tropical","freshwater","benthic","elongate",26.75,40,3.2,0.42,1.7
"Campylomormyrus_numenius","Campylomormyrus","Mormyridae","Osteoglossiformes","Actinopterygii",10849,"demersal","tropical","freshwater","benthic","elongate",57.5,65,3.21,0.25,2.6
"Capoeta_capoeta","Capoeta","Cyprinidae","Cypriniformes","Actinopterygii",13157,"benthopelagic","temperate","freshwater","benthic","fusiform",23.75,41,2,0.15,4.6
"Carangoides_dinema","Carangoides","Carangidae","Perciformes","Actinopterygii",1925,"reef_associated","tropical","mixed","benthic","fusiform",22,85,4,0.58,1.1
