,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
nut_load[4],0.108,0.157,-0.211,0.398,0.005,0.003,1109.0,1893.0,1.0,nut_load[4],planktivore
nut_load[5],0.101,0.134,-0.176,0.34,0.004,0.003,1188.0,2026.0,1.0,nut_load[5],omnivore
depth[0],-0.255,0.124,-0.484,0.0,0.003,0.002,1398.0,1775.0,1.0,depth[0],herbivore-detritivore
depth[1],-0.204,0.123,-0.443,0.035,0.004,0.003,1132.0,1929.0,1.0,depth[1],herbivore-macroalgae
depth[2],-0.151,0.128,-0.405,0.092,0.003,0.002,1422.0,1890.0,1.0,depth[2],invertivore-mobile
depth[3],-0.228,0.129,-0.48,0.032,0.004,0.002,1344.0,1857.0,1.0,depth[3],piscivore
depth[4],-0.1,0.124,-0.346,0.134,0.003,0.002,1325.0,2055.0,1.0,depth[4],planktivore
depth[5],-0.104,0.127,-0.365,0.132,0.003,0.002,1380.0,1686.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.102,0.507,-1.124,0.84,0.017,0.012,899.0,1672.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",-0.148,0.502,-1.168,0.798,0.016,0.011,1037.0,1756.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",-0.046,0.52,-1.076,0.955,0.015,0.011,1170.0,1777.0,1.0,barrier,invertivore-mobile
"reeftype_x[0,3]",0.136,0.522,-0.895,1.137,0.016,0.012,1021.0,1627.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.053,0.505,-0.948,1.035,0.02,0.014,649.0,1276.0,1.0,barrier,planktivore
"reeftype_x[0,5]",-0.264,0.501,-1.263,0.678,0.015,0.011,1093.0,1700.0,1.0,barrier,omnivore
"reeftype_x[1,0]",-0.023,0.504,-1.003,0.943,0.017,0.012,905.0,1583.0,1.0,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.245,0.496,-0.673,1.215,0.015,0.011,1026.0,1784.0,1.0,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.067,0.517,-0.987,1.056,0.016,0.011,1103.0,1776.0,1.0,fringing,invertivore-mobile
"reeftype_x[1,3]",0.168,0.515,-0.775,1.182,0.016,0.011,1012.0,1722.0,1.0,fringing,piscivore
"reeftype_x[1,4]",-0.214,0.504,-1.186,0.784,0.019,0.014,666.0,1398.0,1.0,fringing,planktivore
"reeftype_x[1,5]",-0.023,0.496,-0.988,0.932,0.015,0.011,1063.0,1650.0,1.0,fringing,omnivore
"reeftype_x[2,0]",0.416,0.587,-0.785,1.509,0.016,0.012,1285.0,1976.0,1.0,lagoon,herbivore-detritivore
"reeftype_x[2,1]",0.108,0.618,-1.096,1.295,0.016,0.011,1511.0,2048.0,1.0,lagoon,herbivore-macroalgae
"reeftype_x[2,2]",0.171,0.622,-0.957,1.449,0.017,0.012,1298.0,2078.0,1.0,lagoon,invertivore-mobile
"reeftype_x[2,3]",-0.052,0.607,-1.208,1.126,0.016,0.011,1441.0,1908.0,1.0,lagoon,piscivore
"reeftype_x[2,4]",0.581,0.593,-0.603,1.736,0.019,0.013,1012.0,1779.0,1.0,lagoon,planktivore
"reeftype_x[2,5]",0.486,0.596,-0.733,1.584,0.015,0.011,1489.0,1783.0,1.0,lagoon,omnivore
"reeftype_x[3,0]",0.108,0.52,-0.896,1.096,0.017,0.012,968.0,1760.0,1.0,patch,herbivore-detritivore
"reeftype_x[3,1]",0.205,0.511,-0.792,1.229,0.015,0.011,1105.0,1976.0,1.0,patch,herbivore-macroalgae
"reeftype_x[3,2]",0.084,0.536,-0.953,1.135,0.015,0.011,1244.0,1906.0,1.0,patch,invertivore-mobile
"reeftype_x[3,3]",0.07,0.529,-0.944,1.102,0.016,0.011,1095.0,1566.0,1.0,patch,piscivore
"reeftype_x[3,4]",0.184,0.513,-0.852,1.196,0.019,0.014,697.0,1559.0,1.0,patch,planktivore
"reeftype_x[3,5]",0.125,0.51,-0.872,1.114,0.015,0.011,1133.0,1713.0,1.0,patch,omnivore
"reefzone_x[0,0]",0.084,0.701,-1.202,1.481,0.027,0.019,664.0,1489.0,1.0,back reef,herbivore-detritivore
"reefzone_x[0,1]",0.167,0.698,-1.194,1.554,0.022,0.015,1037.0,1489.0,1.0,back reef,herbivore-macroalgae
"reefzone_x[0,2]",0.135,0.692,-1.22,1.432,0.023,0.016,922.0,1601.0,1.0,back reef,invertivore-mobile
"reefzone_x[0,3]",0.197,0.698,-1.13,1.56,0.023,0.016,945.0,1922.0,1.0,back reef,piscivore
"reefzone_x[0,4]",0.102,0.701,-1.234,1.465,0.024,0.017,894.0,1372.0,1.0,back reef,planktivore
"reefzone_x[0,5]",0.095,0.698,-1.24,1.466,0.023,0.016,906.0,1758.0,1.0,back reef,omnivore
"reefzone_x[1,0]",0.267,0.697,-1.007,1.709,0.029,0.02,586.0,1188.0,1.0,fore reef,herbivore-detritivore
"reefzone_x[1,1]",0.25,0.685,-1.088,1.561,0.025,0.018,772.0,1192.0,1.0,fore reef,herbivore-macroalgae
"reefzone_x[1,2]",0.169,0.688,-1.179,1.508,0.025,0.018,732.0,1232.0,1.0,fore reef,invertivore-mobile
"reefzone_x[1,3]",0.098,0.695,-1.228,1.457,0.024,0.017,829.0,1412.0,1.0,fore reef,piscivore
"reefzone_x[1,4]",0.385,0.688,-0.858,1.792,0.025,0.017,790.0,1184.0,1.0,fore reef,planktivore
"reefzone_x[1,5]",0.207,0.691,-1.148,1.507,0.024,0.017,806.0,1473.0,1.0,fore reef,omnivore
"β0_cnc[0,0]",0.081,0.966,-1.743,2.007,0.012,0.02,6999.0,2074.0,1.0,Fiji,herbivore-detritivore
"β0_cnc[0,1]",0.049,0.949,-1.821,1.887,0.013,0.019,5721.0,2216.0,1.0,Fiji,herbivore-macroalgae
"β0_cnc[0,2]",0.055,0.949,-1.705,1.996,0.012,0.02,6723.0,2275.0,1.0,Fiji,invertivore-mobile
"β0_cnc[0,3]",0.053,0.981,-1.777,1.997,0.013,0.022,5804.0,1691.0,1.0,Fiji,piscivore
"β0_cnc[0,4]",0.044,0.978,-1.882,1.912,0.012,0.019,7164.0,2325.0,1.0,Fiji,planktivore
"β0_cnc[0,5]",0.095,1.02,-1.814,2.122,0.012,0.022,7631.0,1981.0,1.0,Fiji,omnivore
"β0_cnc[1,0]",0.022,1.001,-1.904,1.962,0.013,0.021,6255.0,1908.0,1.0,Madagascar,herbivore-detritivore
"β0_cnc[1,1]",0.048,0.981,-1.917,1.914,0.013,0.023,6017.0,2028.0,1.0,Madagascar,herbivore-macroalgae
"β0_cnc[1,2]",-0.017,0.957,-1.811,2.004,0.012,0.019,6090.0,2099.0,1.0,Madagascar,invertivore-mobile
"β0_cnc[1,3]",0.066,0.982,-1.899,1.873,0.013,0.02,5735.0,2278.0,1.0,Madagascar,piscivore
"β0_cnc[1,4]",-0.007,0.994,-1.805,2.097,0.013,0.021,6235.0,2192.0,1.0,Madagascar,planktivore
"β0_cnc[1,5]",-0.026,0.986,-1.991,1.821,0.012,0.021,6826.0,2173.0,1.0,Madagascar,omnivore
"β0_cnc[2,0]",0.015,1.0,-1.886,1.936,0.013,0.021,5509.0,2014.0,1.0,Solomon Islands,herbivore-detritivore
"β0_cnc[2,1]",0.0,0.959,-1.978,1.816,0.012,0.021,6597.0,2333.0,1.0,Solomon Islands,herbivore-macroalgae
"β0_cnc[2,2]",0.016,0.982,-1.917,1.855,0.011,0.023,7711.0,2093.0,1.0,Solomon Islands,invertivore-mobile
"β0_cnc[2,3]",-0.022,0.978,-1.919,1.802,0.013,0.02,5380.0,2218.0,1.0,Solomon Islands,piscivore
"β0_cnc[2,4]",0.052,0.972,-1.935,1.9,0.013,0.021,5764.0,1976.0,1.0,Solomon Islands,planktivore
"β0_cnc[2,5]",0.008,0.975,-1.95,1.842,0.012,0.022,6550.0,1760.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",1.807,1.013,-0.122,3.837,0.042,0.03,580.0,1157.0,1.0,Fiji,herbivore-detritivore
"β0_c[0,1]",1.747,1.022,-0.235,3.803,0.037,0.026,762.0,1300.0,1.0,Fiji,herbivore-macroalgae
"β0_c[0,2]",1.6,1.021,-0.384,3.558,0.038,0.027,718.0,1323.0,1.0,Fiji,invertivore-mobile
"β0_c[0,3]",1.521,1.037,-0.535,3.52,0.037,0.026,770.0,1367.0,1.0,Fiji,piscivore
"β0_c[0,4]",1.966,1.013,0.05,3.948,0.04,0.029,625.0,1015.0,1.01,Fiji,planktivore
"β0_c[0,5]",1.676,1.002,-0.336,3.568,0.04,0.028,633.0,1073.0,1.0,Fiji,omnivore
"β0_c[1,0]",1.424,0.977,-0.408,3.376,0.041,0.029,557.0,1058.0,1.01,Madagascar,herbivore-detritivore
"β0_c[1,1]",1.881,0.963,-0.012,3.724,0.037,0.026,673.0,1301.0,1.0,Madagascar,herbivore-macroalgae
"β0_c[1,2]",1.305,0.955,-0.617,3.109,0.037,0.027,650.0,1158.0,1.0,Madagascar,invertivore-mobile
"β0_c[1,3]",1.55,0.982,-0.456,3.417,0.038,0.027,677.0,1256.0,1.0,Madagascar,piscivore
"β0_c[1,4]",1.738,0.991,-0.198,3.653,0.042,0.03,561.0,971.0,1.01,Madagascar,planktivore
"β0_c[1,5]",1.19,0.961,-0.726,2.983,0.038,0.027,650.0,1271.0,1.0,Madagascar,omnivore
"β0_c[2,0]",1.601,1.045,-0.404,3.757,0.043,0.03,588.0,1161.0,1.01,Solomon Islands,herbivore-detritivore
"β0_c[2,1]",1.724,1.044,-0.314,3.741,0.037,0.026,795.0,1600.0,1.0,Solomon Islands,herbivore-macroalgae
"β0_c[2,2]",1.385,1.033,-0.659,3.428,0.038,0.027,729.0,1196.0,1.0,Solomon Islands,invertivore-mobile
"β0_c[2,3]",1.28,1.041,-0.801,3.318,0.038,0.027,738.0,1324.0,1.0,Solomon Islands,piscivore
"β0_c[2,4]",1.927,1.044,-0.252,3.89,0.041,0.029,639.0,1154.0,1.01,Solomon Islands,planktivore
"β0_c[2,5]",1.352,1.034,-0.78,3.27,0.038,0.027,726.0,1433.0,1.0,Solomon Islands,omnivore
"β0_managenc[0,0]",0.049,1.039,-1.974,2.085,0.012,0.024,6979.0,1626.0,1.0,Fijino-take,herbivore-detritivore
"β0_managenc[0,1]",0.047,0.997,-1.837,2.05,0.012,0.022,6746.0,1968.0,1.0,Fijino-take,herbivore-macroalgae
"β0_managenc[0,2]",0.03,1.024,-1.845,2.12,0.012,0.025,7080.0,1864.0,1.0,Fijino-take,invertivore-mobile
"β0_managenc[0,3]",0.025,0.968,-1.947,1.804,0.012,0.02,7056.0,2123.0,1.0,Fijino-take,piscivore
"β0_managenc[0,4]",0.035,1.002,-1.947,1.969,0.014,0.022,5519.0,1970.0,1.0,Fijino-take,planktivore
"β0_managenc[0,5]",0.055,0.999,-1.996,1.955,0.013,0.023,5841.0,2091.0,1.0,Fijino-take,omnivore
"β0_managenc[1,0]",-0.035,0.948,-1.92,1.726,0.012,0.021,6305.0,1894.0,1.0,Fijirestriction,herbivore-detritivore
"β0_managenc[1,1]",-0.023,0.982,-1.951,1.845,0.013,0.023,5874.0,1721.0,1.0,Fijirestriction,herbivore-macroalgae
"β0_managenc[1,2]",-0.011,0.999,-1.837,2.006,0.013,0.021,5914.0,2066.0,1.0,Fijirestriction,invertivore-mobile
"β0_managenc[1,3]",-0.01,1.024,-1.934,2.099,0.013,0.026,6475.0,1912.0,1.0,Fijirestriction,piscivore
"β0_managenc[1,4]",-0.011,1.005,-1.944,1.975,0.013,0.022,6405.0,2093.0,1.0,Fijirestriction,planktivore
"β0_managenc[1,5]",-0.007,0.954,-1.817,1.803,0.012,0.019,6374.0,2426.0,1.0,Fijirestriction,omnivore
"β0_managenc[2,0]",-0.011,0.968,-1.802,1.99,0.012,0.02,6873.0,2160.0,1.0,Madagascarno-take,herbivore-detritivore
"β0_managenc[2,1]",-0.04,0.981,-1.866,1.984,0.012,0.023,6832.0,1851.0,1.0,Madagascarno-take,herbivore-macroalgae
"β0_managenc[2,2]",-0.029,1.009,-1.993,1.958,0.013,0.021,6163.0,2444.0,1.0,Madagascarno-take,invertivore-mobile
"β0_managenc[2,3]",-0.046,0.993,-2.029,1.845,0.012,0.022,6352.0,1971.0,1.0,Madagascarno-take,piscivore
"β0_managenc[2,4]",0.019,1.004,-1.851,2.019,0.013,0.022,6165.0,2303.0,1.0,Madagascarno-take,planktivore
"β0_managenc[2,5]",0.001,1.025,-1.971,2.045,0.012,0.024,6984.0,1627.0,1.0,Madagascarno-take,omnivore
"β0_managenc[3,0]",0.017,0.982,-1.974,1.912,0.012,0.022,6246.0,1754.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_managenc[3,1]",0.069,1.007,-1.959,1.997,0.012,0.022,6988.0,1944.0,1.0,Madagascaropen-access,herbivore-macroalgae
"β0_managenc[3,2]",0.037,0.998,-1.978,1.951,0.013,0.021,5642.0,1835.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_managenc[3,3]",0.063,0.979,-1.907,1.991,0.013,0.021,6156.0,2083.0,1.0,Madagascaropen-access,piscivore
"β0_managenc[3,4]",0.005,0.932,-1.894,1.793,0.011,0.02,7302.0,1928.0,1.0,Madagascaropen-access,planktivore
"β0_managenc[3,5]",-0.063,0.973,-1.874,1.93,0.013,0.022,5531.0,1896.0,1.0,Madagascaropen-access,omnivore
"β0_managenc[4,0]",-0.006,0.959,-1.9,1.827,0.013,0.019,4955.0,2355.0,1.0,Madagascarrestriction,herbivore-detritivore
"β0_managenc[4,1]",0.016,0.999,-1.807,2.038,0.012,0.021,6649.0,2367.0,1.0,Madagascarrestriction,herbivore-macroalgae
"β0_managenc[4,2]",-0.008,0.967,-1.796,1.914,0.012,0.021,5919.0,2129.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_managenc[4,3]",-0.005,0.989,-1.927,1.999,0.013,0.021,5760.0,2140.0,1.0,Madagascarrestriction,piscivore
"β0_managenc[4,4]",-0.026,0.987,-1.917,1.896,0.012,0.021,7093.0,2161.0,1.0,Madagascarrestriction,planktivore
"β0_managenc[4,5]",0.049,0.972,-1.778,1.929,0.012,0.019,6435.0,2308.0,1.0,Madagascarrestriction,omnivore
"β0_managenc[5,0]",0.01,0.96,-1.726,1.979,0.013,0.019,5467.0,2217.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_managenc[5,1]",0.045,1.02,-1.993,2.04,0.013,0.023,6489.0,2031.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_managenc[5,2]",0.017,0.999,-1.937,1.915,0.012,0.021,6587.0,2162.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_managenc[5,3]",-0.015,1.003,-1.986,1.93,0.012,0.021,7018.0,2169.0,1.0,Solomon Islandsno-take,piscivore
"β0_managenc[5,4]",0.022,1.044,-2.132,1.978,0.013,0.024,6710.0,2062.0,1.0,Solomon Islandsno-take,planktivore
"β0_managenc[5,5]",0.01,0.978,-1.767,2.061,0.012,0.019,6687.0,2327.0,1.0,Solomon Islandsno-take,omnivore
"β0_managenc[6,0]",-0.006,0.981,-2.016,1.791,0.012,0.023,7130.0,2089.0,1.0,Solomon Islandsrestriction,herbivore-detritivore
"β0_managenc[6,1]",-0.008,0.983,-1.872,1.918,0.013,0.023,5361.0,1912.0,1.0,Solomon Islandsrestriction,herbivore-macroalgae
"β0_managenc[6,2]",-0.017,0.957,-1.823,1.896,0.012,0.019,6873.0,2375.0,1.0,Solomon Islandsrestriction,invertivore-mobile
"β0_managenc[6,3]",-0.016,0.972,-1.868,1.872,0.012,0.019,6392.0,2367.0,1.0,Solomon Islandsrestriction,piscivore
"β0_managenc[6,4]",0.009,1.001,-1.868,2.02,0.013,0.025,5987.0,2180.0,1.0,Solomon Islandsrestriction,planktivore
"β0_managenc[6,5]",0.017,0.962,-1.957,1.882,0.013,0.019,5471.0,2022.0,1.0,Solomon Islandsrestriction,omnivore
"β0_manage[0,0]",2.128,0.885,0.492,3.942,0.041,0.029,463.0,969.0,1.01,Fijino-take,herbivore-detritivore
"β0_manage[0,1]",2.052,0.872,0.433,3.924,0.036,0.026,582.0,1173.0,1.0,Fijino-take,herbivore-macroalgae
"β0_manage[0,2]",1.836,0.877,0.187,3.672,0.037,0.026,554.0,959.0,1.0,Fijino-take,invertivore-mobile
"β0_manage[0,3]",1.687,0.882,0.023,3.444,0.036,0.026,596.0,1008.0,1.0,Fijino-take,piscivore
"β0_manage[0,4]",2.249,0.877,0.558,3.995,0.039,0.028,510.0,656.0,1.01,Fijino-take,planktivore
"β0_manage[0,5]",2.068,0.876,0.34,3.818,0.037,0.027,546.0,1027.0,1.0,Fijino-take,omnivore
"β0_manage[1,0]",1.764,0.83,0.191,3.453,0.041,0.029,418.0,772.0,1.01,Fijirestriction,herbivore-detritivore
"β0_manage[1,1]",1.584,0.82,-0.081,3.14,0.036,0.025,531.0,885.0,1.0,Fijirestriction,herbivore-macroalgae
"β0_manage[1,2]",1.648,0.825,-0.064,3.207,0.036,0.026,518.0,900.0,1.0,Fijirestriction,invertivore-mobile
"β0_manage[1,3]",1.524,0.834,-0.195,3.098,0.035,0.025,558.0,873.0,1.0,Fijirestriction,piscivore
"β0_manage[1,4]",1.873,0.832,0.241,3.486,0.039,0.028,459.0,657.0,1.01,Fijirestriction,planktivore
"β0_manage[1,5]",1.643,0.824,0.084,3.293,0.036,0.026,518.0,819.0,1.0,Fijirestriction,omnivore
"β0_manage[2,0]",1.367,0.856,-0.453,2.98,0.042,0.029,424.0,972.0,1.01,Madagascarno-take,herbivore-detritivore
"β0_manage[2,1]",1.669,0.837,0.04,3.293,0.036,0.025,540.0,997.0,1.01,Madagascarno-take,herbivore-macroalgae
"β0_manage[2,2]",1.201,0.846,-0.426,2.911,0.037,0.026,539.0,890.0,1.0,Madagascarno-take,invertivore-mobile
"β0_manage[2,3]",1.278,0.861,-0.333,3.025,0.036,0.026,565.0,835.0,1.0,Madagascarno-take,piscivore
"β0_manage[2,4]",1.774,0.847,0.089,3.395,0.039,0.027,476.0,780.0,1.01,Madagascarno-take,planktivore
"β0_manage[2,5]",1.257,0.846,-0.437,2.848,0.037,0.026,529.0,858.0,1.0,Madagascarno-take,omnivore
"β0_manage[3,0]",1.448,0.905,-0.297,3.268,0.043,0.031,440.0,999.0,1.01,Madagascaropen-access,herbivore-detritivore
"β0_manage[3,1]",2.279,0.9,0.443,3.985,0.037,0.026,591.0,1058.0,1.0,Madagascaropen-access,herbivore-macroalgae
"β0_manage[3,2]",1.541,0.902,-0.285,3.266,0.036,0.026,618.0,850.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_manage[3,3]",2.045,0.898,0.281,3.775,0.036,0.026,608.0,1048.0,1.0,Madagascaropen-access,piscivore
"β0_manage[3,4]",1.726,0.893,-0.017,3.448,0.039,0.028,521.0,802.0,1.01,Madagascaropen-access,planktivore
"β0_manage[3,5]",0.831,0.92,-0.98,2.602,0.038,0.027,592.0,1185.0,1.0,Madagascaropen-access,omnivore
"β0_manage[4,0]",1.422,0.853,-0.192,3.146,0.041,0.029,431.0,815.0,1.01,Madagascarrestriction,herbivore-detritivore
"β0_manage[4,1]",1.965,0.836,0.244,3.553,0.037,0.026,523.0,993.0,1.01,Madagascarrestriction,herbivore-macroalgae
"β0_manage[4,2]",1.198,0.845,-0.452,2.889,0.036,0.025,557.0,927.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_manage[4,3]",1.56,0.853,-0.081,3.321,0.036,0.025,570.0,859.0,1.0,Madagascarrestriction,piscivore
"β0_manage[4,4]",1.697,0.844,0.001,3.303,0.038,0.027,489.0,864.0,1.01,Madagascarrestriction,planktivore
"β0_manage[4,5]",1.431,0.853,-0.24,3.064,0.037,0.026,528.0,983.0,1.0,Madagascarrestriction,omnivore
"β0_manage[5,0]",1.746,1.003,-0.453,3.551,0.044,0.031,530.0,923.0,1.01,Solomon Islandsno-take,herbivore-detritivore
"β0_manage[5,1]",1.795,1.009,-0.17,3.805,0.038,0.027,698.0,1287.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_manage[5,2]",1.481,1.052,-0.631,3.515,0.04,0.028,689.0,1232.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_manage[5,3]",1.25,1.067,-0.732,3.505,0.039,0.028,750.0,1163.0,1.0,Solomon Islandsno-take,piscivore
"β0_manage[5,4]",2.113,1.026,-0.146,3.946,0.042,0.03,601.0,947.0,1.01,Solomon Islandsno-take,planktivore
"β0_manage[5,5]",1.346,1.032,-0.74,3.235,0.038,0.027,719.0,1436.0,1.0,Solomon Islandsno-take,omnivore
